text,year,month,day
What a great day!!! Looks like dream.,2018,8,18
"I feel sorry, I miss you here in the sea beach",2018,8,18
Don't angry me,2017,8,18
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,2022,6,8
"Those who want to go, let them go",2022,6,8
"Its night 2 am, feeling neutral",2016,11,22
2 am feedings for the baby are fun when he is all smiles and coos,2017,12,28
Soooo high,2017,12,28
 Both of you,2019,10,28
Today first time I arrive in the boat. Its amazing journey,2018,5,28
Love is something like E=MC^2 rules,2021,11,7
I really really like the song Cardigan by Taylor Swift,2016,4,10
My Sharpie is running DANGERously low on ink,2016,5,15
i want to go to music tonight but i lost my voice.,2016,11,15
Always somewhere I miss you where I have been,2016,11,15
Don't distrube me,2017,11,5
"I don't care, who are you and what can you do",2022,2,28
i`ve been sick for the past few days ,2023,1,28
"I'm come back home, my past job, its really good time for me",2020,3,5
I will never fall in love until I found you,2019,11,30
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",2019,3,2
"Playing with kids, its amazing",2019,11,30
is cleaning the house for her family who is comming later today..,2019,3,2
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,2019,8,28
"Follow me, I will follow you too",2016,7,1
"Its amazing game, I playing everyday",2023,1,15
  I`m sorry.,2023,2,10
"I'm in the village now and there hardly found internate, feeling gloomy",2019,11,18
juss came back from Barisal,2018,9,5
Went to sleep and there is a power cut in the village. ,2020,4,2
How looks like our company new logo?,2019,10,18
"I buy Sophie's world book, I'm really so happy",2023,1,18
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,2023,1,30
 That`s very funny.  Cute kids.,2019,4,15
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",2017,8,25
My semester final exam is complete. Hurray!!!,2022,4,5
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,2022,1,5
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",2019,3,8
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,2019,2,25
 romance zero is funny,2018,11,5
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",2019,9,14
Yor are so unromantic,2018,11,5
MAYDAY?!,2020,8,29
 I`d rather do the early run..but I am a morning runner,2014,6,3
 I love to! But I`m only available from 5pm.  and where dear?,2020,8,29
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,2023,4,8
 i talk to you,2020,4,2
"im soo bored, I don't like this music video",2019,8,5
this concert is amazing,2023,5,20
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",2023,8,21
"Its raining, I need an umbrella ",2023,9,11
should be sleeping.  lost my voice a couple day ago.,2023,9,3
"I'm depressed, I'm thinking about suicide, what I need to do now?",2023,9,3
 I`ve heard this fall. I`m waiting too!,2019,8,30
I saw an amazing nightmare yesterday night,2023,9,9
I AM SUCH A CREEPER  I feel disappointed because of it.,2023,9,26
"I have bad headech, what I need to do now",2020,11,29
happy mother`s day to all moms out there. Mothers are our real hero,2023,9,2
Grabbing coffee from  then making mom breakfast,2023,9,14
im thinking that im going to have fun tonight,2023,1,27
Yesterday was most valuable day for me,2023,2,1
" Haha I know, I cant handle the fame!  and thank you!",2023,2,17
"One suggestion for me is, be up to date",2023,2,26
"Always love everyone, love all animals. Most important love your parents",2023,3,1
I'm playing minecraft video game. I'm addicated to it.,2015,12,22
See you in the cloud,2015,12,18
What a great day!!! Looks like dream.,2018,8,18
"I feel sorry, I miss you here in the sea beach",2018,8,18
Don't angry me,2017,8,18
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,2022,6,8
"Those who want to go, let them go",2022,6,8
"Its night 2 am, feeling neutral",2016,11,22
2 am feedings for the baby are fun when he is all smiles and coos,2017,12,28
Soooo high,2017,12,28
 Both of you,2019,10,28
Today first time I arrive in the boat. Its amazing journey,2018,5,28
Love is something like E=MC^2 rules,2021,11,7
I really really like the song Cardigan by Taylor Swift,2016,4,10
My Sharpie is running DANGERously low on ink,2016,5,15
i want to go to music tonight but i lost my voice.,2016,11,15
Always somewhere I miss you where I have been,2016,11,15
Don't distrube me,2017,11,5
"I don't care, who are you and what can you do",2022,2,28
i`ve been sick for the past few days ,2023,1,28
"I'm come back home, my past job, its really good time for me",2020,3,5
I will never fall in love until I found you,2019,11,30
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",2019,3,2
"Playing with kids, its amazing",2019,11,30
is cleaning the house for her family who is comming later today..,2019,3,2
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,2019,8,28
"Follow me, I will follow you too",2016,7,1
"Its amazing game, I playing everyday",2023,1,15
  I`m sorry.,2023,2,10
"I'm in the village now and there hardly found internate, feeling gloomy",2019,11,18
juss came back from Barisal,2018,9,5
Went to sleep and there is a power cut in the village. ,2020,4,2
How looks like our company new logo?,2019,10,18
"I buy Sophie's world book, I'm really so happy",2023,1,18
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,2023,1,30
 That`s very funny.  Cute kids.,2019,4,15
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",2017,8,25
My semester final exam is complete. Hurray!!!,2022,4,5
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,2022,1,5
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",2019,3,8
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,2019,2,25
 romance zero is funny,2018,11,5
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",2019,9,14
Yor are so unromantic,2018,11,5
MAYDAY?!,2020,8,29
 I`d rather do the early run..but I am a morning runner,2014,6,3
 I love to! But I`m only available from 5pm.  and where dear?,2020,8,29
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,2023,4,8
 i talk to you,2020,4,2
Grabbing coffee from  then making mom breakfast,2023,9,14
im thinking that im going to have fun tonight....and maybe some changes are coming,2023,1,27
 thanks. before the major chop.,2023,2,1
" Haha I know, I cant handle the fame!  and thank you!",2023,2,17
just got up and updated my ipod,2023,2,26
"I still loving you, you are my love",2023,3,1
"Lets go, its time to play cricket match",2015,12,22
"Hey everyone, do you watch cricket match between eng vs aus yesterday",2015,12,18
Australia cricket team I love you,2020,5,11
 which means you`re just going to have to come back to vancouver and have it our way! hahah,2019,11,3
Feeling smooth like chrome,2017,12,1
feeling gloomy,2018,12,5
Today we will go a concert,2017,9,10
i need coffee too.,2016,2,28
 Sounds like me,2022,6,20
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,2016,8,20
Walking to class. I hate not having a bike....especially mine.,2016,9,22
I'm start learning machine learning,2023,5,28
failed inspection. ,2023,8,26
Lets sing a song,2023,8,28
happy father`s day to all the father in the world.,2023,9,20
"Today, my semester final exam was really great",2023,10,14
Really great day,2023,9,4
The exception for a short dude,2023,10,11
Congratulation for your achievement,2023,1,15
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",2023,1,19
 Yes i work 9 to 5 ,2023,1,31
" Hmmm, maybe that`s what they meant. ",2023,2,15
Done at the spa   now meeting vic for some late lunch!,2023,2,17
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,2023,2,19
 Always have wanted to go to university,2023,2,24
 Thanks,2023,2,28
Really great football match,2012,2,18
  that`s why I need to be there,2022,10,8
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,2019,12,3
 If only we could ever actually be allowed to stay here and do that,2023,2,28
 Let me know how that turns out!!,2021,2,28
 was that sass I detect?  As long as it isn`t back sass! Haha,2021,11,29
" yeah I was thinking about that ,ahaha",2021,2,10
Today is our EEE day,2021,1,15
I`m not sleeping at all until  accepts my appology,2016,3,8
I'm studying in psychology,2016,3,8
" I live for pain, bring it on",2016,10,18
"okay, i`m out for a while  back later!",2023,5,23
"We visited worlds longest sea beach, Its really amazing time for us",2023,5,25
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,2023,6,1
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,2023,6,9
your attitude looks like autistics child,2023,6,20
going to shower because i don`t want to smell at school tomorrow,2023,6,27
Do you know sign languages,2023,7,9
 Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,2023,1,24
may the fourth be with you! happy star wars day,2023,3,3
just got home from work,2023,8,9
