text,year,month,day
 what happened? I thought you were coming back today....,2021,9,20
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",2021,4,15
 Let me know how that turns out!!,2021,2,28
 Im not bannished... but I am at work till 6,2021,5,20
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",2021,3,15
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,2021,9,15
" yeah I was thinking about that ,ahaha",2021,2,10
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",2021,11,30
concert tonight  chackin out and not coming tomorrow!,2021,10,8
Today is our EEE day,2021,1,15
 lol dammit  well then next time then,2021,9,20
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",2021,3,2
 Im not bannished... but I am at work till 6,2021,5,20
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",2021,3,2
I Miss Daddy and Mommy,2021,8,20
 Sounds like me,2022,6,20
uploading all my bamboozle pictures of facebook,2022,5,30
Bouncing Rush makes me feel nauseous,2022,8,10
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,2022,4,3
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,2022,11,28
 LMAO... Smh!  that one threw me off.,2022,7,20
My semester final exam is complete. Hurray!!!,2022,4,5
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,2022,5,12
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,2022,11,15
"I don't care, who are you and what can you do",2022,2,28
"Those who want to go, let them go",2022,6,8
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,2022,1,5
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,2022,6,8
 Sounds like me,2022,6,20
this week of mine was not easy!  but finally it`s over! (:,2022,1,28
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",2023,1,20
I want it BACK NOW!,2023,2,23
Woo CAVS.  Happy Mother`s Day!,2023,5,6
"Its amazing game, I playing everyday",2023,1,15
I want it BACK NOW!,2023,2,23
 it was only once for my big brother...and I`m done now,2023,9,7
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",2023,8,12
" I know   It was worth a shot, though!",2023,7,18
"yesterday I'm watch a movie, that’s was really motivated for me",2023,1,24
"I buy Sophie's world book, I'm really so happy",2023,1,18
  I`m sorry.,2023,2,10
" Hmmm, maybe that`s what they meant. ",2023,2,15
"Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",2023,7,6
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",2023,2,15
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",2023,9,17
" Happy birthday! Just woke up on this side of Earth, so wishes are bit late",2023,8,4
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,2023,1,28
It looks like the office TV DOES get MLB Network,2023,1,18
this is sooo crazy i have fever..,2023,3,10
Here are 4 FREE notebooks to know machine learning well,2023,8,1
Going to miss my roomie ... We will no longer be roomies starting tomorrow,2023,2,25
Do you know sign languages,2023,7,9
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,2023,5,25
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,2023,4,8
Hell yeah Kellynn got a Twitter. Finally.,2023,7,12
Grabbing coffee from  then making mom breakfast,2023,9,14
 Yes i work 9 to 5 ,2023,1,31
I`m missing crab legs and attending my going away instead!,2023,1,16
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",2023,10,8
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,2023,8,14
im thinking that im going to have fun tonight,2023,1,27
" Haha I know, I cant handle the fame!  and thank you!",2023,2,17
" Haha I know, I cant handle the fame!  and thank you!",2023,2,17
good news: finally finished my workout that has been paused for 6 hours. bad news: my resistance band is torn,2023,10,5
 If only we could ever actually be allowed to stay here and do that,2023,2,28
Ship. I`m stuck.,2023,8,18
may the fourth be with you! happy star wars day,2023,3,3
going to shower because i don`t want to smell at school tomorrow,2023,6,27
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,2023,2,16
twittering after 2 days!,2023,10,2
  hope he is ok!,2023,3,3
happy mother`s day to all the mothers in the world.,2023,9,20
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",2023,6,7
 Have a good one,2023,4,10
was hoping to go to Red Lobster this weekend,2023,3,2
 Yes i work 6 to 3...,2023,1,31
Happy Mothers Day people. i love my mom a lot still,2023,10,17
" Haha I know, I cant handle the fame!  and thank you!",2023,2,17
just got home from work,2023,8,9
good news: finally finished my bachelor degree,2023,10,5
sore throat. Planning the TET outing to Marwell though...good times,2023,2,13
I saw an amazing nightmare yesterday night,2023,9,9
your attitude looks like autistics child,2023,6,20
comes home in two days,2023,1,25
 i agree with you!,2023,1,22
Daniel has won DSDS. His voice is great.,2023,2,12
"okay, i`m out for a while  back later!",2023,5,23
"I still loving you, you are my love",2023,3,1
